"1708780013-1,""https://www.eliteprospects.com/team/5588/dunarea-galati"",""Adrian Ionescu (G)"""
"1708780013-2,""https://www.eliteprospects.com/team/5588/dunarea-galati"",""Otto Onodi (G)"""
"1708780013-3,""https://www.eliteprospects.com/team/5588/dunarea-galati"",""Magor Szopos (G)"""
"1708780013-4,""https://www.eliteprospects.com/team/5588/dunarea-galati"",""Alexander Alexandrov (D)"""
"1708780013-5,""https://www.eliteprospects.com/team/5588/dunarea-galati"",""Catalin Berdila (D/F)"""
"1708780013-6,""https://www.eliteprospects.com/team/5588/dunarea-galati"",""Andrei Buleandra (D)"""
"1708780013-7,""https://www.eliteprospects.com/team/5588/dunarea-galati"",""Konstantin Chernyuk (D)"""
"1708780013-8,""https://www.eliteprospects.com/team/5588/dunarea-galati"",""Szabolcs Hildebrand (D/F)"""
"1708780013-9,""https://www.eliteprospects.com/team/5588/dunarea-galati"",""El?d Márton Karda (D)"""
"1708780013-10,""https://www.eliteprospects.com/team/5588/dunarea-galati"",""Norbert Raduly (D)"""
"1708780013-11,""https://www.eliteprospects.com/team/5588/dunarea-galati"",""Attila Szocs (D)"""
"1708780013-12,""https://www.eliteprospects.com/team/5588/dunarea-galati"",""Yevgeni Yemelyanenko (D)"""
"1708780013-13,""https://www.eliteprospects.com/team/5588/dunarea-galati"",""Luka Zorko (D)"""
"1708780013-14,""https://www.eliteprospects.com/team/5588/dunarea-galati"",""Alexei Baskov (F)"""
"1708780013-15,""https://www.eliteprospects.com/team/5588/dunarea-galati"",""Roland Benedek (F)"""
"1708780013-16,""https://www.eliteprospects.com/team/5588/dunarea-galati"",""Mircea Constantin (C)"""
"1708780013-17,""https://www.eliteprospects.com/team/5588/dunarea-galati"",""Gergö Danalizi (F)"""
"1708780013-18,""https://www.eliteprospects.com/team/5588/dunarea-galati"",""Amador Filer (F)"""
"1708780013-19,""https://www.eliteprospects.com/team/5588/dunarea-galati"",""Remus Gheorghe (F)"""
"1708780013-20,""https://www.eliteprospects.com/team/5588/dunarea-galati"",""Patrik Machala (F)"""
"1708780013-21,""https://www.eliteprospects.com/team/5588/dunarea-galati"",""Raul Alexandru Maftei (F)"""
"1708780013-22,""https://www.eliteprospects.com/team/5588/dunarea-galati"",""Alexander Neznamov (F)"""
"1708780013-23,""https://www.eliteprospects.com/team/5588/dunarea-galati"",""Sergei Paior (C)"""
"1708780013-24,""https://www.eliteprospects.com/team/5588/dunarea-galati"",""Szabolcs Raduly (F)"""
"1708780013-25,""https://www.eliteprospects.com/team/5588/dunarea-galati"",""Huba Silló (F)"""
"1708780013-26,""https://www.eliteprospects.com/team/5588/dunarea-galati"",""Vladislav Teamriuc (F)"""
